A066970,엘앤에프,KOSPI,"63,700","1,800",2.75%,"66,400","66,600","63,700","19,988","1,296,227,900",N
A025320,시노펙스,KOSDAQ,"6,540",200,3.15%,"6,340","6,580","6,340","198,320","1,292,892,300",N
A454910,두산로보틱스,KOSPI,"50,300",200,0.40%,"50,100","50,500","49,600","25,589","1,281,425,150",N
A376300,디어유,KOSDAQ,"47,100",200,0.42%,"47,300","47,500","46,100","27,390","1,280,706,500",N
A005070,코스모신소재,KOSPI,"37,750","1,050",2.71%,"39,050","39,300","37,700","32,507","1,247,447,400",N
A032350,롯데관광개발,KOSPI,"10,800",70,0.64%,"10,900","10,990","10,550","114,928","1,246,542,295",N
A065350,신성델타테크,KOSDAQ,"58,800",800,1.34%,"59,000","60,700","58,600","20,864","1,242,629,500",N
A289220,자이언트스텝,KOSDAQ,"6,760",220,3.36%,"6,670","6,860","6,580","184,704","1,242,486,245",N
A067080,대화제약,KOSDAQ,"14,530",500,3.33%,"15,040","15,040","14,470","83,843","1,232,261,250",N
A107640,한중엔시에스,KOSDAQ,"28,450","1,050",3.83%,"27,500","28,500","27,300","44,217","1,232,221,325",N
A012330,현대모비스,KOSPI,"255,000","1,500",0.58%,"257,000","259,000","252,500","4,826","1,231,639,500",N
A053800,안랩,KOSDAQ,"67,600",900,1.35%,"66,800","68,500","66,100","17,983","1,210,216,250",N
A039490,키움증권,KOSPI,"143,200","5,600",4.07%,"137,700","144,000","137,100","8,561","1,208,940,900",N
A000810,삼성화재,KOSPI,"376,000","1,000",0.27%,"377,000","387,000","372,500","3,177","1,207,116,500",N
A011780,금호석유화학,KOSPI,"119,500","3,300",2.84%,"116,600","121,200","116,200","10,103","1,206,851,400",N
A432720,퀄리타스반도체,KOSDAQ,"15,620",270,1.76%,"15,460","15,650","15,200","77,926","1,206,504,885",N
A122870,와이지엔터테인먼트,KOSDAQ,"66,700","1,000",1.48%,"67,000","67,800","66,400","17,801","1,194,395,850",N
A475560,더본코리아,KOSPI,"26,325",625,2.32%,"27,250","28,000","26,200","44,300","1,188,512,225",N
A083420,그린케미칼,KOSPI,"7,990",0,0%,"8,060","8,210","7,950","145,607","1,177,556,450",N
A140410,메지온,KOSDAQ,"38,250",900,2.30%,"38,850","38,950","37,850","30,400","1,161,871,050",N
A051980,중앙첨단소재,KOSDAQ,"4,015",270,6.30%,"4,300","4,300","3,970","283,107","1,155,514,034",N
A336570,원텍,KOSDAQ,"8,350",40,0.48%,"8,390","8,530","8,300","136,398","1,149,392,050",N
A006360,GS건설,KOSPI,"18,270",530,2.99%,"17,810","18,280","17,670","63,470","1,145,917,410",N
A089590,제주항공,KOSPI,"7,080",310,4.58%,"6,900","7,160","6,850","162,111","1,145,519,180",N
A161890,한국콜마,KOSPI,"74,600","1,000",1.32%,"75,600","76,600","74,400","15,135","1,139,242,650",N
A028260,삼성물산,KOSPI,"122,300",100,0.08%,"122,000","123,300","121,400","9,327","1,138,865,700",N
A473980,노머스,KOSDAQ,"28,350",650,2.35%,"28,100","28,500","27,100","39,929","1,107,038,200",N
A340570,티앤엘,KOSDAQ,"69,900","2,600",3.59%,"72,500","72,500","68,100","15,851","1,106,398,200",N
A004090,한국석유,KOSPI,"12,640",390,2.99%,"13,150","13,610","12,610","84,649","1,101,444,120",N
A267270,HD현대건설기계,KOSPI,"67,600","1,500",2.17%,"69,000","69,100","67,000","16,071","1,085,868,500",N
A005940,NH투자증권,KOSPI,"15,510",310,2.04%,"15,200","15,550","15,160","70,497","1,083,355,830",N
A460930,현대힘스,KOSDAQ,"17,320",220,1.29%,"17,300","17,410","17,160","61,967","1,072,738,880",N
A096770,SK이노베이션,KOSPI,"93,800",400,0.43%,"93,400","94,450","93,400","11,331","1,063,890,050",N
A282330,BGF리테일,KOSPI,"113,800","7,100",6.65%,"106,700","114,400","106,600","9,489","1,059,431,100",N
A047920,HLB제약,KOSDAQ,"20,500",0,0%,"20,500","20,550","19,980","52,068","1,052,476,700",N
A138040,메리츠금융지주,KOSPI,"122,100",500,0.41%,"122,700","123,200","120,800","8,590","1,047,001,950",N
